ADBE,Adobe Inc.,Information Technology
AMD,Advanced Micro Devices Inc,Information Technology
GOOGL,Alphabet Inc. (Class A),Communication Services
GOOG,Alphabet Inc. (Class C),Communication Services
AMZN,Amazon.com Inc.,Consumer Discretionary
AAPL,Apple Inc.,Information Technology
T,AT&T Inc.,Communication Services
ADSK,Autodesk Inc.,Information Technology
BKR,Baker Hughes Co,Energy
BBY,Best Buy Co. Inc.,Consumer Discretionary
BA,Boeing Company,Industrials
EBAY,eBay Inc.,Consumer Discretionary
FB,Facebook Inc.,Communication Services
F,Ford Motor Company,Consumer Discretionary
HAL,Halliburton Co.,Energy
INTC,Intel Corp.,Information Technology
JNJ,Johnson & Johnson,Health Care
JPM,JPMorgan Chase & Co.,Financials
LHX,L3Harris Technologies,Industrials
LMT,Lockheed Martin Corp.,Industrials
MU,Micron Technology,Information Technology
MSFT,Microsoft Corp.,Information Technology
NFLX,Netflix Inc.,Communication Services
NKE,Nike Inc.,Consumer Discretionary
NVDA,Nvidia Corporation,Information Technology
PYPL,PayPal,Information Technology
PEP,PepsiCo Inc.,Consumer Staples
PFE,Pfizer Inc.,Health Care
QCOM,QUALCOMM Inc.,Information Technology
RTX,Raytheon Technologies,Industrials
STX,Seagate Technology,Information Technology
TGT,Target Corp.,Consumer Discretionary
TXN,Texas Instruments,Information Technology
UAA,Under Armour (Class A),Consumer Discretionary
UA,Under Armour (Class C),Consumer Discretionary
VZ,Verizon Communications,Communication Services
XLNX,Xilinx,Information Technology
